Ticker,Hype,Acc,Prec,Rec,F1,Probability
FIX,UP,0.72,0.80,0.82,0.81,81.45%
STRL,UP,0.81,0.89,0.82,0.86,80.74%
STRL,UP,0.77,0.80,0.90,0.84,72.25%
HYMC,UP,0.78,0.80,0.97,0.88,63.34%
HBM,UP,0.74,0.76,0.94,0.84,62.91%
FIX,UP,0.73,0.73,1.00,0.84,62.51%
TGB,UP,0.74,0.73,1.00,0.85,61.39%
TGB,UP,0.72,0.72,1.00,0.84,61.19%
TSM,UP,0.69,0.75,0.79,0.77,61.12%
HBM,UP,0.75,0.75,0.97,0.85,58.05%
TGB,UP,0.73,0.78,0.87,0.82,58.03%
KTOS,UP,0.76,0.77,0.88,0.82,57.73%
USAS,UP,0.70,0.71,0.98,0.82,57.74%
HBM,UP,0.75,0.75,0.99,0.85,57.57%
TGB,UP,0.76,0.78,0.93,0.85,55.18%
FIX,UP,0.76,0.82,0.87,0.84,55.01%
STRL,HOLD,0.73,0.73,0.98,0.84,54.92%
COHR,HOLD,0.76,0.78,0.98,0.87,54.15%
FIX,HOLD,0.78,0.78,0.96,0.86,54.14%
ACMR,HOLD,0.71,0.80,0.80,0.80,53.77%
CIEN,HOLD,0.71,0.72,0.98,0.83,53.90%
HBM,HOLD,0.74,0.74,0.99,0.85,52.38%
KTOS,HOLD,0.73,0.70,1.00,0.82,51.39%
HYMC,HOLD,0.73,0.80,0.87,0.83,50.28%
STRL,HOLD,0.71,0.71,0.99,0.83,50.38%
LITE,HOLD,0.74,0.84,0.86,0.85,50.46%
RMBS,DOWN,0.68,0.76,0.64,0.69,48.96%
CRDO,DOWN,0.77,0.78,0.81,0.79,48.97%
FIX,DOWN,0.78,0.80,0.93,0.86,47.50%
VIAV,DOWN,0.74,0.81,0.83,0.82,47.95%
UUUU,DOWN,0.77,0.80,0.89,0.84,47.00%
ATRO,DOWN,0.70,0.80,0.74,0.77,44.67%
LITE,DOWN,0.77,0.90,0.81,0.85,44.86%
STRL,DOWN,0.73,0.90,0.69,0.78,40.12%
